Feature,Sensitivity,Specificity,Accuracy,MCC,Precision,Recall,F1-score
AAC,0.935 ,0.930 ,0.933 ,0.868 ,0.935 ,0.934 ,0.933 
CKSAAP(k=2),0.970 ,0.890 ,0.930 ,0.865 ,0.970 ,0.901 ,0.933 
CKSAAP(k=3),0.965 ,0.905 ,0.935 ,0.873 ,0.965 ,0.913 ,0.937 
CKSAAP(k=4),0.950 ,0.905 ,0.927 ,0.858 ,0.950 ,0.912 ,0.930 
CKSAAP(k=5),0.940 ,0.915 ,0.927 ,0.857 ,0.940 ,0.919 ,0.928 
CKSAAP(k=6),0.925 ,0.915 ,0.920 ,0.842 ,0.925 ,0.918 ,0.920 
CTriad(k=0),0.905 ,0.825 ,0.865 ,0.737 ,0.905 ,0.841 ,0.869 
CTriad(k=1),0.905 ,0.825 ,0.865 ,0.737 ,0.905 ,0.841 ,0.869 
CTriad(k=2),0.905 ,0.825 ,0.865 ,0.737 ,0.905 ,0.841 ,0.869 
CTriad(k=3),0.905 ,0.825 ,0.865 ,0.737 ,0.905 ,0.841 ,0.869 
CTriad(k=4),0.905 ,0.825 ,0.865 ,0.737 ,0.905 ,0.841 ,0.869 
CTriad(k=5),0.905 ,0.825 ,0.865 ,0.737 ,0.905 ,0.841 ,0.869 
DDE,0.930 ,0.935 ,0.933 ,0.866 ,0.930 ,0.936 ,0.933 
DPC,0.965 ,0.880 ,0.923 ,0.850 ,0.965 ,0.893 ,0.927 
CTDC,0.855 ,0.895 ,0.875 ,0.753 ,0.855 ,0.893 ,0.872 
CTDD,0.960 ,0.825 ,0.893 ,0.795 ,0.960 ,0.851 ,0.900 
CTDD,0.915 ,0.850 ,0.883 ,0.771 ,0.915 ,0.865 ,0.887 
AAC_count,0.920 ,0.955 ,0.938 ,0.879 ,0.920 ,0.957 ,0.936 
PAAC,0.905 ,0.945 ,0.925 ,0.854 ,0.905 ,0.945 ,0.923 
AAC+DPC,0.955 ,0.935 ,0.945 ,0.893 ,0.955 ,0.939 ,0.946 
AAC+TPC,0.960 ,0.920 ,0.940 ,0.882 ,0.960 ,0.926 ,0.942 
CTD,0.955 ,0.825 ,0.890 ,0.789 ,0.955 ,0.850 ,0.898 
EAAC(k=7),0.905 ,0.935 ,0.920 ,0.844 ,0.905 ,0.936 ,0.919 
EAAC(k=5),0.915 ,0.935 ,0.925 ,0.854 ,0.915 ,0.938 ,0.924 
EAAC(k=6),0.910 ,0.935 ,0.922 ,0.849 ,0.910 ,0.937 ,0.921 
EAAC(k=8),0.900 ,0.940 ,0.920 ,0.844 ,0.900 ,0.941 ,0.918 
EAAC(k=9),0.880 ,0.940 ,0.910 ,0.826 ,0.880 ,0.941 ,0.906 
EAAC(k=10),0.870 ,0.945 ,0.908 ,0.822 ,0.870 ,0.944 ,0.903 
p_EAAC(k=7),0.950 ,0.910 ,0.930 ,0.863 ,0.950 ,0.918 ,0.932 
p_EAAC(k=5),0.925 ,0.900 ,0.913 ,0.828 ,0.925 ,0.906 ,0.914 
p_EAAC(k=6),0.935 ,0.910 ,0.923 ,0.848 ,0.935 ,0.915 ,0.924 
p_EAAC(k=8),0.935 ,0.915 ,0.925 ,0.853 ,0.935 ,0.920 ,0.926 
p_EAAC(k=9),0.925 ,0.900 ,0.913 ,0.829 ,0.925 ,0.908 ,0.915 
p_EAAC(k=10),0.920 ,0.900 ,0.910 ,0.823 ,0.920 ,0.906 ,0.912 
EGAAC(k=5),0.940 ,0.770 ,0.855 ,0.725 ,0.940 ,0.810 ,0.868 
GDPC,0.935 ,0.780 ,0.857 ,0.729 ,0.935 ,0.816 ,0.869 
GTPC,0.985 ,0.805 ,0.895 ,0.806 ,0.985 ,0.841 ,0.906 
TPC,0.965 ,0.820 ,0.893 ,0.796 ,0.965 ,0.848 ,0.901 
GAAC,0.875 ,0.780 ,0.828 ,0.660 ,0.875 ,0.801 ,0.835 
